OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
2D - Weak,2NT - Asking,"3C - Minimum, poor suit",,
Should comprise mostly of values in suit bid and not outside Aces and Kings.,"Also applies after a weak jump shift, and a 2nd seat weak 2H/2S jump overcall.",,,
Applies to 2H and 2S opens.,,"3D - Maximum, poor suit",,
,,,,
,,"3H - Minimum, good suit",,
,,,,
,,"3S - Maximum, good suit",,
